Date,market,log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio,gmm_regime,gmm_regime_label,gmm_regime_prob
2014-03-31,sp500,0.0078928713847966,0.0064936280010625,0.0075383180257848,0.0085561488958717,0.9566031487590496,0.001597960635635,0.0007157057313699,0.8614160319120401,0,Calm/Bull,0.9985
2014-04-01,sp500,0.0070146880442134,0.0057542986321202,0.0075863458167732,0.0063006516821634,0.9808395843840768,0.0021220440747133,0.0003088239997735,0.7585072933793252,0,Calm/Bull,0.9956
2014-04-02,sp500,0.0028492638318384,0.0057812241719313,0.0075819919330084,0.00496060329034,0.9242583659333088,0.0040968842320562,0.0004539548288486,0.7624941074867925,0,Calm/Bull,0.9958
2014-04-03,sp500,-0.0011270852130106,0.0057835003786786,0.0075505346073981,0.0059033256027802,0.9058856925588914,0.0042518454582495,0.0003117538933552,0.7659723025455604,0,Calm/Bull,0.9947
2014-04-04,sp500,-0.0126165429253139,0.0064643407499872,0.0077366449192337,0.0182404174354598,1.062165623444911,0.0008026390245047,-0.0003459704817661,0.835548331023505,0,Calm/Bull,0.7545
2014-04-07,sp500,-0.0108083123321497,0.0068750587939276,0.0078671738284522,0.0122274086828019,1.1138371160375182,-0.0029375977188845,-0.0008632184163127,0.8738918122113327,0,Calm/Bull,0.9955
2014-04-08,sp500,0.0037435379801772,0.0068727898646337,0.0078763150177794,0.0094278285199326,1.0851401020275755,-0.0035918277316917,-0.000421286668543,0.8725895103382255,0,Calm/Bull,0.9972
2014-04-09,sp500,0.0108590393419655,0.0073219870606424,0.0078163277891916,0.0107094661052407,0.9642402147606725,-0.0019898726296663,0.0001064090823947,0.9367553738940226,0,Calm/Bull,0.9983
2014-04-10,sp500,-0.0211059677373872,0.0083451029647173,0.0081800284365909,0.0227267959818576,1.0940221390185063,-0.0059856491345416,-0.0003603847196804,1.0201801900086351,0,Calm/Bull,0.6888
2014-04-11,sp500,-0.0095320597398973,0.0085807830693984,0.0082410983710978,0.011406110958273,1.0823490362118795,-0.0053687524974583,-0.000695699385803,1.0412183768479046,0,Calm/Bull,0.9995
2014-04-14,sp500,0.0081837081507406,0.0084988460439644,0.0083120675989091,0.0100457731167642,0.8963883202809175,-0.0015703484008802,-0.0007648998630179,1.0224707562628357,0,Calm/Bull,0.9996
2014-04-15,sp500,0.0067345795177034,0.0084768102259844,0.0083438010536497,0.0150462732979318,1.0640553676496345,-0.000972140093375,-0.0007878549994064,1.0159410766723078,0,Calm/Bull,0.9985
2014-04-16,sp500,0.0104338679487661,0.0087319336836516,0.0084443765537447,0.008752596675783,0.9002162033381339,-0.0010571743720148,4.136465286855443e-05,1.0340530917915305,0,Calm/Bull,0.9997
2014-04-17,sp500,0.0013629237070939,0.0086254692289112,0.0084456354200832,0.0069228272240136,0.9531972213925728,0.0034366039168813,-0.0001916058661528,1.0212931058331485,0,Calm/Bull,0.9997
2014-04-21,sp500,0.0037680156555725,0.0086434317726602,0.0083722841382265,0.004653030289889,0.783174942314016,0.0060966189959753,0.0001436439224562,1.0323863392542594,0,Calm/Bull,0.9998
2014-04-22,sp500,0.0040837889961278,0.0086016431025662,0.0078943888726969,0.0065547966477702,0.9557222317087832,0.0052766351650527,0.0005916624202307,1.0895894845407617,0,Calm/Bull,1.0
2014-04-23,sp500,-0.002215766862522,0.008574792357786,0.0078691876959956,0.003114000701026,0.9187336700443464,0.0034865658890076,0.0002611605346635,1.089666772359423,0,Calm/Bull,0.9999
2014-04-24,sp500,0.0017154882753308,0.0084049556700472,0.0078397116439796,0.0073565393919636,0.9544331099476095,0.0017428899543206,0.0006981817961739,1.0721001041539189,0,Calm/Bull,1.0
2014-04-25,sp500,-0.0081293447435016,0.0086189757059522,0.0077934962757157,0.0096705051492721,0.968303550574936,-0.0001555637357984,0.0003868091261976,1.1059190126013985,0,Calm/Bull,1.0
2014-04-28,sp500,0.0032308111625023,0.008588359012925,0.0076805516487408,0.0141219642648072,1.1964700296813342,-0.0002630046344125,0.0003168752221523,1.1181955939757282,0,Calm/Bull,0.9999
2014-04-29,sp500,0.0047494605046335,0.0084703704728365,0.0076396129196561,0.0052280198467838,1.0757900206704614,-0.0001298703327113,0.0001597046781441,1.1087434091121124,0,Calm/Bull,0.9999
