Date,Close,Volume,High,Low,log_return,volatility_20,volatility_60,range_pct,volume_ma20,volume_ratio,return_ma5,return_ma20,volatility_ratio,market
2014-03-31,1872.3399658203125,3274300000,1875.1800537109375,1859.1600341796875,0.007892871384796676,0.006493628001062547,0.007538318025784801,0.008556148895871741,3422840500.0,0.9566031487590497,0.0015979606356350934,0.0007157057313699394,0.8614160319120401,sp500
2014-04-01,1885.52001953125,3336190000,1885.8399658203125,1873.9599609375,0.007014688044213445,0.005754298632120218,0.0075863458167732154,0.006300651682163486,3401361500.0,0.9808395843840768,0.0021220440747133354,0.0003088239997735223,0.7585072933793252,sp500
2014-04-02,1890.9000244140625,3131660000,1893.1700439453125,1883.7900390625,0.0028492638318384613,0.005781224171931333,0.007581991933008443,0.004960603290340061,3388295000.0,0.9242583659333087,0.004096884232056237,0.00045395482884867303,0.7624941074867925,sp500
2014-04-03,1888.77001953125,3055600000,1893.800048828125,1882.6500244140625,-0.0011270852130106552,0.005783500378678687,0.007550534607398133,0.005903325602780207,3373052500.0,0.9058856925588914,0.004251845458249517,0.00031175389335528586,0.7659723025455604,sp500
2014-04-04,1865.0899658203125,3583750000,1897.280029296875,1863.260009765625,-0.012616542925313997,0.006464340749987252,0.007736644919233765,0.018240417435459826,3374003000.0,1.062165623444911,0.0008026390245047859,-0.0003459704817661992,0.835548331023505,sp500
2014-04-07,1845.0400390625,3801540000,1864.0400390625,1841.47998046875,-0.010808312332149784,0.006875058793927668,0.007867173828452208,0.012227408682801916,3413012500.0,1.1138371160375182,-0.002937597718884506,-0.0008632184163127138,0.8738918122113327,sp500
2014-04-08,1851.9599609375,3721450000,1854.949951171875,1837.489990234375,0.0037435379801772804,0.006872789864633781,0.007876315017779448,0.009427828519932693,3429465000.0,1.0851401020275757,-0.0035918277316917386,-0.0004212866685430576,0.8725895103382255,sp500
2014-04-09,1872.1800537109375,3308650000,1872.4300537109375,1852.3800048828125,0.010859039341965573,0.007321987060642492,0.00781632778919168,0.0107094661052407,3431354500.0,0.9642402147606725,-0.0019898726296663167,0.00010640908239472084,0.9367553738940226,sp500
2014-04-10,1833.0799560546875,3758780000,1872.530029296875,1830.8699951171875,-0.02110596773738724,0.008345102964717396,0.008180028436590952,0.022726795981857666,3435744000.0,1.0940221390185065,-0.005985649134541634,-0.0003603847196804601,1.0201801900086351,sp500
2014-04-11,1815.68994140625,3743460000,1835.0699462890625,1814.3599853515625,-0.009532059739897396,0.008580783069398449,0.008241098371097884,0.01140611095827306,3458644000.0,1.0823490362118795,-0.005368752497458313,-0.0006956993858030716,1.0412183768479046,sp500
2014-04-14,1830.6099853515625,3111540000,1834.18994140625,1815.800048828125,0.008183708150740607,0.008498846043964468,0.008312067598909166,0.010045773116764292,3471196500.0,0.8963883202809175,-0.0015703484008802355,-0.0007648998630179894,1.0224707562628357,sp500
2014-04-15,1842.97998046875,3736440000,1844.02001953125,1816.2900390625,0.006734579517703411,0.008476810225984451,0.008343801053649739,0.015046273297931895,3511509000.0,1.0640553676496345,-0.0009721400933750092,-0.0007878549994064781,1.0159410766723078,sp500
2014-04-16,1862.31005859375,3155080000,1862.31005859375,1846.010009765625,0.010433867948766148,0.008731933683651672,0.008444376553744755,0.008752596675783054,3504802500.0,0.9002162033381339,-0.001057174372014895,4.136465286855443e-05,1.0340530917915305,sp500
2014-04-17,1864.8499755859375,3341430000,1869.6300048828125,1856.719970703125,0.0013629237070939353,0.008625469228911274,0.008445635420083253,0.0069228272240136396,3505497000.0,0.9531972213925729,0.0034366039168813407,-0.00019160586615283613,1.0212931058331485,sp500
2014-04-21,1871.8900146484375,2642500000,1871.8900146484375,1863.1800537109375,0.003768015655572547,0.008643431772660201,0.008372284138226542,0.00465303028988903,3374086500.0,0.783174942314016,0.00609661899597533,0.00014364392245622896,1.0323863392542594,sp500
2014-04-22,1879.550048828125,3215440000,1884.8900146484375,1872.5699462890625,0.004083788996127826,0.00860164310256624,0.007894388872696992,0.006554796647770248,3364408500.0,0.9557222317087832,0.0052766351650527735,0.0005916624202307816,1.0895894845407617,sp500
2014-04-23,1875.3900146484375,3085720000,1879.75,1873.9100341796875,-0.0022157668625220617,0.008574792357786052,0.007869187695995636,0.0031140007010260562,3358666500.0,0.9187336700443465,0.003486565889007679,0.00026116053466356665,1.0896667723594233,sp500
2014-04-24,1878.6099853515625,3191830000,1884.06005859375,1870.239990234375,0.001715488275330875,0.008404955670047261,0.007839711643979638,0.0073565393919636365,3344215500.0,0.9544331099476095,0.0017428899543206245,0.0006981817961739127,1.0721001041539189,sp500
2014-04-25,1863.4000244140625,3213020000,1877.719970703125,1859.699951171875,-0.008129344743501644,0.008618975705952266,0.0077934962757157744,0.009670505149272127,3318195000.0,0.9683035505749361,-0.00015556373579849147,0.0003868091261976832,1.1059190126013985,sp500
2014-04-28,1869.4300537109375,4034680000,1877.010009765625,1850.6099853515625,0.003230811162502344,0.008588359012925059,0.007680551648740873,0.014121964264807219,3372153000.0,1.1964700296813342,-0.00026300463441253206,0.00031687522215231764,1.1181955939757282,sp500
2014-04-29,1878.3299560546875,3647820000,1880.5999755859375,1870.780029296875,0.004749460504633521,0.00847037047283654,0.007639612919656188,0.0052280198467838275,3390829000.0,1.0757900206704614,-0.00012987033271139297,0.0001597046781441599,1.1087434091121124,sp500
2014-04-30,1883.949951171875,3779230000,1885.199951171875,1872.68994140625,0.00298754980270127,0.008345787976337159,0.006964927868929599,0.006640308973093148,3412981000.0,1.1073105886027492,0.0009107930003332734,-4.165223393144887e-05,1.1982590679176375,sp500
2014-05-01,1883.6800537109375,3416740000,1888.5899658203125,1878.0400390625,-0.00014327174433229932,0.008318010039541463,0.0069177309478337164,0.00560069993682242,3427235000.0,0.9969377646995319,0.0005390409964006386,-0.0001912790127399869,1.2024188425752873,sp500
2014-05-02,1881.1400146484375,3159560000,1891.3299560546875,1878.5,-0.0013493550298709083,0.008319474508847024,0.00691293630216773,0.006820308937548843,3432433000.0,0.9205015800745419,0.0018950389391267856,-0.00020239250358299954,1.2034646560012765,sp500
2014-05-05,1884.6600341796875,2733730000,1885.510009765625,1866.77001953125,0.0018694675823397822,0.007795912270524708,0.0067564104151772095,0.009943432711741947,3389932000.0,0.8064262055994044,0.0016227702230942735,0.0005219080217996894,1.1538541609332111,sp500
2014-05-06,1867.719970703125,3327260000,1883.68994140625,1867.719970703125,-0.009029031461991046,0.007668929020808827,0.006685503611514691,0.008550516647906762,3366218000.0,0.988426774498859,-0.00113292817023064,0.0006108720653076263,1.1470981793503703,sp500
2014-05-07,1878.2099609375,3632950000,1878.8299560546875,1859.7900390625,0.005600754871033284,0.0077199326631559465,0.006715165023655514,0.010137267604886842,3361793000.0,1.0806584462517472,-0.0006102871565642374,0.0007037329098504264,1.1496266489298383,sp500
2014-05-08,1875.6300048828125,3393420000,1889.0699462890625,1870.050048828125,-0.0013745692327864058,0.00734866933274137,0.006582465343568799,0.010140538065302407,3366031500.0,1.008136733123264,-0.0008565466542550585,9.205248111282757e-05,1.1164007631154744,sp500
2014-05-09,1878.47998046875,3025020000,1878.5699462890625,1867.02001953125,0.0015183231948788392,0.005395617803917675,0.00658295104668999,0.006148549294057617,3329343500.0,0.9085935410389465,-0.00028301100930510904,0.0012232670277261318,0.8196351097933009,sp500
2014-05-12,1896.6500244140625,3005740000,1897.1300048828125,1880.030029296875,0.009626256172315509,0.005076894292510741,0.006653080397179223,0.009015883460745609,3292457500.0,0.9129168713643229,0.0012683467086900362,0.0021811828233367766,0.7630892743552664,sp500
2014-05-13,1897.449951171875,2915680000,1902.1700439453125,1896.06005859375,0.0004216687882830338,0.004887014878707409,0.006630205366169946,0.003220103564675812,3282664500.0,0.8882052978609297,0.0031584867587448524,0.001793080855213898,0.7370834851727193,sp500
2014-05-14,1888.530029296875,2822060000,1897.1300048828125,1885.77001953125,-0.004712089565017091,0.004947742151622195,0.006663927993888778,0.00601525269671882,3236945500.0,0.8718280860768277,0.0010959178715347771,0.001220747401077873,0.7424663285917212,sp500
2014-05-15,1870.8499755859375,3552640000,1888.1600341796875,1862.3599853515625,-0.009405904183934792,0.004992026280658844,0.006724603367631587,0.013790549303689944,3256823500.0,1.0908297609618698,-0.0005103491186949003,0.00022875879444282603,0.7423525236726404,sp500
2014-05-16,1877.8599853515625,3173650000,1878.280029296875,1864.8199462890625,0.0037399628190006033,0.005048428151701687,0.006698675295437158,0.007167777743180666,3248434500.0,0.9769782952372904,-6.602119387054745e-05,0.00034761075003815944,0.7536457477108128,sp500
